INDIVIDUALS	STRATA
MAZ_1516	MAZ
MAZ_1517	MAZ
MAZ_1518	MAZ
MAZ_1519	MAZ
MAZ_1520	MAZ
MAZ_1521	MAZ
MAZ_1522	MAZ
MAZ_1523	MAZ
MAZ_1524	MAZ
MAZ_1525	MAZ
MAZ_1527	MAZ
MAZ_1528	MAZ
MAZ_1529	MAZ
MAZ_1530	MAZ
MAZ_1531	MAZ
MAZ_1532	MAZ
PRI_1818	PRI
PRI_1819	PRI
PRI_1820	PRI
PRI_1821	PRI
PRI_1822	PRI
PRI_1823	PRI
PRI_1824	PRI
PRI_1825	PRI
PRI_1826	PRI
PRI_1827	PRI
PRI_1828	PRI
PRI_1829	PRI
PRI_1831	PRI
PRI_1832	PRI
PRI_1833	PRI
PRI_1834	PRI
PRI_1835	PRI
PRI_1836	PRI
PRI_1837	PRI
PRI_1838	PRI
PRI_1839	PRI
PRI_1840	PRI
PRI_1841	PRI
PRI_1842	PRI
PRI_1843	PRI
PRI_1844	PRI
PRI_1845	PRI
PRI_1846	PRI
PRI_1847	PRI
PRI_1848	PRI
REN_1537	REN
REN_1538	REN
REN_1539	REN
REN_1540	REN
REN_1542	REN
REN_1543	REN
REN_1545	REN
REN_1546	REN
REN_1547	REN
REN_1548	REN
REN_1549	REN
REN_1550	REN
REN_1551	REN
REN_1553	REN
REN_1554	REN
REN_1555	REN
REN_1556	REN
REN_1557	REN
REN_1558	REN
REN_1559	REN
REN_1560	REN
REN_1561	REN
REN_1562	REN
REN_1563	REN
REN_1564	REN
REN_1565	REN
REN_1566	REN
REN_1567	REN
REN_1568	REN
REN_1569	REN
SEL_1187	SEL
SEL_1188	SEL
SEL_1189	SEL
SEL_1190	SEL
SEL_1571	SEL
SEL_1572	SEL
SEL_1573	SEL
SEL_1574	SEL
SEL_1575	SEL
SEL_1576	SEL
SEL_1577	SEL
SEL_1578	SEL
SEL_1579	SEL
SEL_1580	SEL
SEL_1582	SEL
SEL_1583	SEL
SEL_1584	SEL
SEL_1585	SEL
SEL_1586	SEL
SEL_1587	SEL
SEL_1588	SEL
SEL_1589	SEL
SEL_1590	SEL
SEL_1591	SEL
SEL_1592	SEL
SEL_1593	SEL
SEL_1594	SEL
SEL_1596	SEL
SEL_1597	SEL
SEL_1598	SEL
SEL_1599	SEL
SEL_1600	SEL
TOL_1663	TOL
TOL_1664	TOL
TOL_1665	TOL
TOL_1666	TOL
TOL_1667	TOL
TOL_1668	TOL
TOL_1669	TOL
TOL_1670	TOL
TOL_1671	TOL
TOL_1673	TOL
TOL_1674	TOL
TOL_1675	TOL
TOL_1676	TOL
TOL_1677	TOL
TOL_1678	TOL
TOL_1679	TOL
TOL_1680	TOL
TOL_1681	TOL
TOL_1682	TOL
TOL_1683	TOL
TOL_1684	TOL
TOL_1685	TOL
TOL_1686	TOL
TOL_1687	TOL
TOL_1688	TOL
TOL_1690	TOL
TOL_1691	TOL
TOL_1692	TOL
TOL_1693	TOL
